file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous10,keyReleased/1[java.awt.event.KeyEvent],FALSE,398,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,getHours/0,FALSE,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,setRate/1[double],FALSE,27,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,setHours/1[double],FALSE,31,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,getRate/0,FALSE,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,PartTimeEmployee/0,TRUE,16,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\LoginUI.java,StaffManagement.UserInterface.LoginUI$Anonymous3,mouseReleased/1[java.awt.event.MouseEvent],FALSE,109,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\LoginUI.java,StaffManagement.UserInterface.LoginUI$Anonymous3,mousePressed/1[java.awt.event.MouseEvent],FALSE,106,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\LoginUI.java,StaffManagement.UserInterface.LoginUI$Anonymous4,mouseClicked/1[java.awt.event.MouseEvent],FALSE,155,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\LoginUI.java,StaffManagement.UserInterface.LoginUI$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],FALSE,186,1,9,0,9,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,FALSE
