file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,getNamespaceHandlerResolver/0,FALSE,77,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User001Mapper.java,com.ssm.dao.User001Mapper,selectByPrimaryKey/1[java.lang.Integer],FALSE,12,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User001Mapper.java,com.ssm.dao.User001Mapper,updateByPrimaryKeySelective/1[com.ssm.pojo.User],FALSE,14,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User001Mapper.java,com.ssm.dao.User001Mapper,deleteByPrimaryKey/1[java.lang.Integer],FALSE,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User001Mapper.java,com.ssm.dao.User001Mapper,updateByPrimaryKey/1[com.ssm.pojo.User],FALSE,16,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User001Mapper.java,com.ssm.dao.User001Mapper,insert/1[com.ssm.pojo.User],FALSE,8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,FALSE
C:\blog_demos-master\springmybatisexceptiondemo\src\main\java\com\ssm\dao\User001Mapper.java,com.ssm.dao.User001Mapper,insertSelective/1[com.ssm.pojo.User],FALSE,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,FALSE
C:\blog_demos-master\spring-cloud-tutorials\circuitbreaker-gateway\src\main\java\com\bolingcavalry\circuitbreakergateway\CircuitbreakerApplication.java,com.bolingcavalry.circuitbreakergateway.CircuitbreakerApplication,main/1[java.lang.String[]],FALSE,14,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,FALSE
C:\blog_demos-master\threadpooldemoserver\src\main\java\com\bolingcavalry\threadpooldemoserver\controller\Hello.java,com.bolingcavalry.threadpooldemoserver.controller.Hello,submit/0,FALSE,24,2,1,0,1,1,2,6,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,2,FALSE
C:\blog_demos-master\javacv-tutorials\ffmpeg-basic\src\main\java\com\bolingcavalry\basic\Stream2Image.java,com.bolingcavalry.basic.FrameData,"FrameData/2[com.bolingcavalry.basic.AVFrame,com.bolingcavalry.basic.BytePointer]",TRUE,428,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,FALSE
C:\blog_demos-master\leetcode\src\practice\ListNode.java,practice.ListNode,ListNode/0,TRUE,13,0,4,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE
C:\blog_demos-master\leetcode\src\practice\ListNode.java,practice.ListNode,ListNode/1[int],TRUE,16,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,FALSE
C:\blog_demos-master\leetcode\src\practice\ListNode.java,practice.ListNode,"ListNode/2[int,practice.ListNode]",TRUE,20,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\access\BeanFactoryLocator.java,org.springframework.beans.factory.access.BeanFactoryLocator,useBeanFactory/1[java.lang.String],FALSE,55,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,TRUE
